arm,concurrency,gpu_W_mean,gpu_W_median,gpu_W_p90,cpu_W_mean,combined_W_mean,idle_pct,n_samples
baseline_fp16,1,5.0,5.0,5.2,2.3,7.3,2.4,254
kvquant_4bit,1,5.2,5.2,5.3,1.8,7.0,1.9,208
baseline_fp16,2,10.9,13.1,14.2,1.8,12.7,1.7,240
kvquant_4bit,2,9.9,7.5,13.9,1.7,11.6,1.4,284
baseline_fp16,4,14.2,14.0,18.7,3.3,17.5,0.6,692
kvquant_4bit,4,17.9,19.6,21.5,1.7,19.6,0.6,646
baseline_fp16,8,12.8,14.1,15.8,2.1,14.9,0.0,1248
kvquant_4bit,8,18.3,18.2,21.2,1.0,19.3,0.4,992
baseline_fp16,16,15.2,15.3,16.6,1.2,16.3,0.2,2234
kvquant_4bit,16,15.6,16.1,17.9,0.9,16.5,0.2,2116
